DOY,	MES,	DIA,	HS,	IDT,	GHI,	DNI,	GTI20,	GTI35,	GTI45,	GTI60,	GTI90,	TAM,	HRE,	PAM,	VVI10,	DVI10,	VVI20,	DVI20,	CZ,	AS,	GS
1,	1,	1,	0,	0.000,	0,	0,	0,	0,	0,	0,	0,	20.4,	94,	1001.8,	6.7,	160,	7.9,	189,	0.000,	0.0,	0.0
1,	1,	1,	1,	0.042,	0,	0,	0,	0,	0,	0,	0,	20.4,	96,	1001.9,	5.7,	160,	9.5,	198,	0.000,	0.0,	0.0
1,	1,	1,	2,	0.083,	0,	0,	0,	0,	0,	0,	0,	20.2,	96,	1001.6,	4.1,	150,	11.0,	206,	0.000,	0.0,	0.0
1,	1,	1,	3,	0.125,	0,	0,	0,	0,	0,	0,	0,	19.6,	98,	1000.6,	4.1,	150,	11.7,	211,	0.000,	0.0,	0.0
1,	1,	1,	4,	0.167,	0,	0,	0,	0,	0,	0,	0,	18.4,	96,	1001.2,	4.1,	160,	11.0,	212,	0.000,	0.0,	0.0
1,	1,	1,	5,	0.208,	0,	0,	0,	0,	0,	0,	0,	18.0,	96,	1001.2,	3.1,	130,	12.5,	209,	0.000,	0.0,	0.0
1,	1,	1,	6,	0.250,	0,	0,	0,	0,	0,	0,	0,	18.8,	98,	1001.0,	2.6,	140,	12.3,	201,	0.000,	0.0,	0.0
1,	1,	1,	7,	0.292,	0,	0,	0,	0,	0,	0,	0,	18.6,	94,	1000.9,	2.6,	140,	10.6,	203,	0.000,	0.0,	0.0
1,	1,	1,	8,	0.333,	0,	0,	0,	0,	0,	0,	0,	18.0,	96,	1001.4,	2.1,	150,	10.0,	211,	0.000,	0.0,	0.0
1,	1,	1,	9,	0.375,	47,	246,	17,	17,	17,	17,	16,	19.6,	90,	1001.4,	2.1,	150,	10.3,	212,	0.070,	4.0,	-115.4
1,	1,	1,	10,	0.417,	216,	562,	139,	75,	42,	44,	48,	22.0,	82,	1001.8,	2.1,	150,	10.4,	210,	0.267,	15.5,	-107.6
1,	1,	1,	11,	0.458,	432,	748,	364,	290,	233,	138,	73,	23.6,	75,	1003.1,	2.6,	150,	10.4,	211,	0.460,	27.4,	-100.2
1,	1,	1,	12,	0.500,	566,	605,	530,	471,	419,	326,	127,	24.0,	75,	1002.6,	4.6,	150,	11.0,	210,	0.638,	39.6,	-92.5
1,	1,	1,	13,	0.542,	435,	82,	425,	403,	383,	346,	252,	23.0,	81,	1002.7,	2.6,	170,	11.2,	217,	0.787,	51.9,	-83.4
1,	1,	1,	14,	0.583,	587,	173,	579,	550,	521,	466,	320,	25.2,	70,	1002.7,	4.6,	140,	10.7,	223,	0.898,	63.9,	-70.3
1,	1,	1,	15,	0.625,	689,	253,	685,	652,	617,	548,	359,	25.4,	68,	1002.2,	6.2,	140,	11.2,	220,	0.963,	74.4,	-44.1
1,	1,	1,	16,	0.667,	702,	257,	699,	666,	630,	560,	367,	24.2,	78,	1002.4,	5.1,	110,	10.8,	224,	0.978,	77.9,	14.5
1,	1,	1,	17,	0.708,	723,	343,	721,	683,	643,	563,	344,	25.0,	72,	1002.3,	6.7,	120,	10.4,	225,	0.941,	70.2,	58.4
1,	1,	1,	18,	0.750,	806,	690,	797,	741,	682,	565,	254,	25.4,	68,	1002.3,	4.6,	130,	10.6,	225,	0.855,	58.8,	76.9
1,	1,	1,	19,	0.792,	500,	234,	484,	452,	422,	367,	228,	23.8,	75,	1002.4,	4.6,	120,	9.9,	224,	0.726,	46.6,	87.6
1,	1,	1,	20,	0.833,	416,	338,	386,	345,	311,	252,	151,	23.8,	75,	1002.7,	5.1,	120,	8.1,	219,	0.563,	34.3,	95.9
1,	1,	1,	21,	0.875,	248,	258,	214,	180,	155,	114,	102,	22.0,	91,	1003.4,	5.1,	130,	7.5,	217,	0.377,	22.2,	103.4
1,	1,	1,	22,	0.917,	113,	288,	65,	46,	46,	45,	41,	21.8,	82,	1003.7,	5.7,	130,	6.2,	217,	0.181,	10.4,	110.9
1,	1,	1,	23,	0.958,	0,	0,	0,	0,	0,	0,	0,	21.4,	85,	1004.6,	4.6,	110,	6.3,	196,	0.000,	0.0,	0.0
2,	1,	2,	0,	1.000,	0,	0,	0,	0,	0,	0,	0,	21.4,	85,	1004.9,	3.1,	160,	6.5,	197,	0.000,	0.0,	0.0
2,	1,	2,	1,	1.042,	0,	0,	0,	0,	0,	0,	0,	21.2,	91,	1005.2,	3.1,	150,	6.1,	181,	0.000,	0.0,	0.0
2,	1,	2,	2,	1.083,	0,	0,	0,	0,	0,	0,	0,	21.4,	91,	1005.5,	3.6,	140,	5.0,	175,	0.000,	0.0,	0.0
2,	1,	2,	3,	1.125,	0,	0,	0,	0,	0,	0,	0,	21.6,	89,	1005.9,	3.6,	170,	4.8,	178,	0.000,	0.0,	0.0
2,	1,	2,	4,	1.167,	0,	0,	0,	0,	0,	0,	0,	21.0,	91,	1005.8,	2.6,	170,	5.9,	180,	0.000,	0.0,	0.0
2,	1,	2,	5,	1.208,	0,	0,	0,	0,	0,	0,	0,	20.4,	94,	1005.8,	2.6,	170,	5.1,	178,	0.000,	0.0,	0.0
2,	1,	2,	6,	1.250,	0,	0,	0,	0,	0,	0,	0,	20.2,	96,	1005.8,	2.6,	170,	5.4,	183,	0.000,	0.0,	0.0
2,	1,	2,	7,	1.292,	0,	0,	0,	0,	0,	0,	0,	20.4,	94,	1006.7,	2.6,	160,	4.0,	185,	0.000,	0.0,	0.0
2,	1,	2,	8,	1.333,	0,	0,	0,	0,	0,	0,	0,	20.0,	92,	1007.0,	2.6,	200,	3.1,	192,	0.000,	0.0,	0.0
2,	1,	2,	9,	1.375,	43,	199,	19,	18,	18,	18,	16,	21.0,	91,	1007.8,	4.1,	190,	2.3,	206,	0.068,	3.9,	-115.4
2,	1,	2,	10,	1.417,	187,	383,	132,	85,	62,	61,	59,	22.0,	80,	1008.4,	4.6,	190,	1.9,	234,	0.265,	15.3,	-107.6
2,	1,	2,	11,	1.458,	345,	390,	304,	259,	223,	164,	113,	22.6,	78,	1008.5,	6.2,	170,	3.4,	240,	0.458,	27.3,	-100.2
2,	1,	2,	12,	1.500,	560,	592,	525,	467,	416,	324,	129,	23.4,	68,	1009.4,	5.1,	190,	3.9,	240,	0.636,	39.5,	-92.4
2,	1,	2,	13,	1.542,	780,	804,	761,	698,	633,	509,	190,	25.0,	68,	1009.6,	5.1,	180,	4.6,	222,	0.786,	51.8,	-83.4
2,	1,	2,	14,	1.583,	888,	785,	887,	828,	764,	633,	282,	24.2,	69,	1009.6,	6.2,	170,	4.3,	219,	0.897,	63.8,	-70.3
2,	1,	2,	15,	1.625,	933,	737,	942,	888,	825,	695,	336,	24.6,	65,	1009.7,	4.6,	190,	5.1,	206,	0.963,	74.3,	-44.2
2,	1,	2,	16,	1.667,	951,	744,	962,	909,	845,	714,	348,	24.6,	66,	1009.1,	5.1,	190,	4.5,	205,	0.978,	77.8,	13.9
2,	1,	2,	17,	1.708,	916,	749,	922,	867,	804,	674,	318,	24.2,	70,	1009.5,	6.2,	180,	4.5,	208,	0.941,	70.2,	58.0
